,Unnamed: 0,url,Index,2022-12-12 Selenium,2023-02-21 Selenium,2023-02-16 Selenium,2022-12-07 Selenium,2023-01-04 Selenium,2022-12-06 Selenium
819,819,https://www.hsn.com/,374,yes,,,yes,yes,yes
820,820,https://www.biglots.com/,375,yes,California Customers Only: Do Not Sell My Info,,yes,yes,yes
821,821,https://www.saksfifthavenue.com/,376,yes,,,yes,yes,yes
822,822,https://www.belk.com/,377,yes,,,yes,yes,yes
823,823,https://www.burlington.com/,378,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
824,824,https://lordandtaylor.com/,379,yes,,,yes,yes,yes
825,825,https://www.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=1,380,yes,Do Not Sell My Info,,yes,yes,yes
826,826,https://www.space.com/,381,yes,Do not sell or share my personal information,,yes,yes,yes
827,827,https://www.astrology.com/us/home.aspx,382,yes,DO NOT SELL MY INFO,,yes,yes,yes
829,829,https://www.ganeshaspeaks.com/,384,yes,,,yes,yes,yes
830,830,https://cafeastrology.com/,385,yes,,,yes,yes,yes
832,832,https://www.tarot.com/,387,no,Do Not Sell My Personal Information,,no,no,no
834,834,http://astrosage.com/,389,yes,,,yes,yes,yes
836,836,https://astrostyle.com/,391,yes,,,yes,yes,yes
837,837,https://hubblesite.org/,392,yes,,,yes,yes,yes
839,839,https://windows2universe.org/,394,yes,,,yes,yes,yes
840,840,https://www.sunsigns.com/,395,yes,Do Not Sell My Info,,yes,yes,yes
841,841,https://earthsky.org/,396,yes,Do not sell or share my personal information.,,yes,yes,yes
842,842,https://futurescopes.com/,397,yes,,,yes,yes,yes
848,848,https://www.adobe.com/,647,yes,Do not sell or share my personal information,,yes,yes,yes
849,849,https://github.com/,648,no,,,no,no,yes
856,856,https://steamcommunity.com/,655,no,,,no,no,yes
857,857,https://www.oracle.com/,656,yes,Do Not Sell My Info,,yes,yes,yes
858,858,https://sourceforge.net/,657,yes,,,yes,yes,no
860,860,https://filehippo.com/,659,no,,,no,no,yes
861,861,https://evernote.com/,660,no,,,no,no,yes
862,862,https://prezi.com/,661,no,,,no,no,yes
863,863,https://qiita.com/,662,no,,,no,no,yes
864,864,https://telegram.org/,663,no,,,no,no,yes
865,865,https://www.cnet.com/,664,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
866,866,https://www.tomshardware.com/,665,yes,Do not sell or share my personal information,,yes,yes,yes
867,867,https://www.theverge.com/,666,yes,DO NOT SELL OR SHARE MY PERSONAL INFO,,yes,yes,yes
869,869,https://www.pcmag.com/,668,yes,"Do Not Sell My Personal Information
(Opens in a new window)",,yes,yes,yes
871,871,https://www.digitaltrends.com/,670,yes,Do Not Sell or Share My Information,,yes,yes,yes
872,872,https://www.imore.com/,671,yes,Do not sell or share my personal information,,yes,yes,yes
873,873,https://www.wired.com/,672,yes,,,yes,yes,no
874,874,https://www.tomsguide.com/,673,yes,Do not sell or share my personal information,,yes,yes,yes
875,875,https://www.pcworld.com/,674,yes,,,yes,yes,yes
876,876,https://www.consumerreports.org/,675,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
877,877,https://www.techadvisor.com/,676,yes,,,yes,yes,yes
878,878,https://www.toptenreviews.com/,677,yes,Do not sell or share my personal information,,yes,yes,yes
880,880,https://www.zdnet.com/,679,yes,,,yes,yes,yes
881,881,https://www.vox.com/recode,680,yes,Do Not Sell or Share My Personal Info,,yes,yes,yes
882,882,https://boingboing.net/,681,yes,,,yes,yes,no
883,883,https://www.sammobile.com/,682,no,,,no,no,yes
888,888,https://www2.hm.com/en_us/index.html,687,yes,Do Not Sell Or Share My Personal Data,,yes,yes,yes
889,889,https://www.victoriassecret.com/us/,688,yes,,,yes,yes,yes
890,890,https://www.footlocker.com/,689,yes,(Calif.) Do Not Sell or Share my Personal Information,,yes,yes,yes
892,892,https://www.gap.com/,691,yes,,,yes,yes,yes
893,893,https://www.zara.com/us/en/woman-new-in-l1180.html?v1=2111785&page=8,692,yes,,,yes,yes,no
894,894,https://www.womanwithin.com/,693,yes,,,yes,yes,yes
895,895,https://www.urbanoutfitters.com/,694,no,Do Not Sell My Personal Info,,no,no,no
897,897,https://ninewest.com/,696,no,,,no,no,yes
901,901,https://www.ae.com/us/en,700,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
903,903,https://www.zulily.com/,702,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
904,904,https://us.pandora.net/,703,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
905,905,https://www.ralphlauren.com/,704,yes,Do Not Sell My Personal Information,,yes,yes,yes
907,907,https://www.zales.com/,706,no,,,yes,no,no
908,908,https://www.thenorthface.com/en-us?_sr=1,707,yes,,,yes,yes,yes
909,909,https://www.kay.com/,708,no,,,no,no,yes
910,910,https://www.fossil.com/en-us/,709,yes,Do Not Sell My Info,,yes,yes,yes
911,911,https://www.toryburch.com/en-us/,710,yes,,,yes,yes,yes
916,916,https://www.katespade.com/,715,yes,,,yes,yes,yes
918,918,https://www.coach.com/,717,yes,,,yes,yes,yes
919,919,https://www.jared.com/,718,yes,,,yes,yes,yes
920,920,https://www.tiffany.com/,719,yes,Do Not Sell My Personal Information,,yes,yes,yes
921,921,https://www.glassesusa.com/,720,no,Do Not Sell or Share My Personal Information,,no,no,no
922,922,https://www.victoriassecret.com/us/,721,yes,,,yes,yes,yes
923,923,https://www.yandy.com/,722,no,Do Not Sell or Share My Personal Information,,no,no,no
924,924,https://www.venus.com/,723,yes,DO NOT SELL MY PERSONAL INFO,,yes,yes,yes
927,927,https://www.soma.com/store/,726,yes,,,yes,yes,yes
934,934,https://www.3wishes.com/,733,yes,Do not sell my personal information,,yes,yes,yes
938,938,https://trashy.com/,737,yes,Do not sell my personal information,,yes,yes,yes
939,939,https://www.josbank.com/?utm_source=&account_id=582&brand=JAB&source=google&campaign=647557330&campaign_type=Brand&adgroup_id=132061103017&keyword=kwd-501326182752&ad_id=619412024628&match_type=e&channel=SEM&utm_id=go_cmp-647557330_adg-132061103017_ad-619412024628_kwd-501326182752_dev-c_ext-_prd-_mca-_sig-CjwKCAjwh4ObBhAzEiwAHzZYU9Kl1sBYAYwoN_GfPdktdbIO2sP4fIx4-VWMlGG28eeIY8WhZ9zBYhoCcTMQAvD_BwE&gclid=CjwKCAjwh4ObBhAzEiwAHzZYU9Kl1sBYAYwoN_GfPdktdbIO2sP4fIx4-VWMlGG28eeIY8WhZ9zBYhoCcTMQAvD_BwE,738,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,,yes,yes,yes
940,940,https://www.menswearhouse.com/,739,yes,,,yes,yes,yes
942,942,https://www.shopbop.com/men?wasEastdane=true&,741,yes,,,yes,yes,yes
943,943,https://www.dxl.com/,742,yes,,,yes,yes,yes
945,945,https://gutenberg.org/,251,yes,,,yes,yes,yes
946,946,https://www.kobo.com/,252,yes,Do Not Sell or Share My Personal Information (Personal Data Opt-out),,yes,yes,yes
947,947,https://calibre-ebook.com/,253,yes,,,yes,yes,yes
948,948,https://openlibrary.org/,254,yes,,,yes,yes,yes
949,949,https://openculture.com/,255,yes,Do not sell my personal information,,yes,yes,yes
952,952,https://www.oreilly.com/,258,yes,DO NOT SELL MY PERSONAL INFORMATION,,yes,yes,yes
953,953,https://www.bkstr.com/efollettstore/home,259,yes,,,yes,yes,yes
955,955,https://www.cengage.com/,261,yes,DO NOT SELL,,yes,yes,yes
959,959,https://twitter.com/,265,yes,,,yes,yes,yes
963,963,https://www.yellowpages.com/,269,yes,Do Not Sell My Personal Information,,yes,yes,yes
965,965,https://foursquare.com/,271,yes,,,yes,yes,yes
968,968,https://www.angi.com/,274,no,Do Not Sell,,no,no,no
969,969,https://www.homeadvisor.com/,275,yes,Do Not Sell,,yes,yes,yes
970,970,https://www.superpages.com/,276,yes,Do Not Sell My Personal Information,,yes,yes,yes
971,971,https://www.thumbtack.com/,277,yes,,,yes,yes,yes
974,974,https://www.addresses.com/,280,yes,Do not sell my info,,yes,yes,yes
983,983,https://www.boattrader.com/,289,yes,Do Not Sell My Personal Information,,yes,yes,yes
984,984,https://claz.org/,290,yes,,,yes,yes,yes
986,986,http://bookoo.com/,292,yes,,,yes,yes,yes
987,987,https://elclasificado.com/,293,yes,Do Not Sell My Information,,yes,yes,yes
988,988,https://www.groupon.com/,294,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
989,989,https://slickdeals.net/,295,yes,Do Not Sell My Personal Information,,yes,yes,yes
990,990,https://www.retailmenot.com/,296,yes,Do Not Sell My Personal Infomation,,yes,yes,yes
992,992,https://www.coupons.com/,298,yes,,,yes,yes,yes
994,994,https://www.maccosmetics.com/,844,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION / TARGETED ADS,,yes,yes,yes
995,995,https://www.racked.com/,845,yes,Do Not Sell or Share My Personal Info,,yes,yes,yes
998,998,https://www.toryburch.com/en-us/,848,yes,,,yes,yes,yes
1000,1000,https://www.greatclips.com/,850,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
1005,1005,https://www.ipsy.com/,855,yes,Do Not Sell,,yes,yes,yes
1007,1007,https://www.refinery29.com/en-us,857,yes,Do Not Sell or Share My Info,,yes,yes,yes
1008,1008,https://www.cosmopolitan.com/,858,yes,,,yes,yes,yes
1009,1009,https://www.fashionbeans.com/,859,yes,Do not sell or share my personal information.,,yes,yes,no
1010,1010,https://www.elle.com/,860,yes,,,yes,yes,yes
1011,1011,https://www.gq.com/,861,yes,,,yes,yes,yes
1012,1012,https://www.marieclaire.com/,862,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,,yes,yes,yes
1013,1013,https://www.vogue.com/,863,no,,,no,no,yes
1014,1014,https://stylebistro.com/,864,yes,California Notice / Do Not Sell My Personal Information,,yes,yes,yes
1015,1015,https://www.instyle.com/,865,yes,Do Not Sell My Personal Information,,yes,yes,yes
1016,1016,https://www.harpersbazaar.com/,866,yes,,,yes,yes,yes
1017,1017,https://www.boldsky.com/,867,yes,,,yes,yes,no
1019,1019,https://www.seventeen.com/,869,yes,,,yes,yes,yes
1021,1021,https://stylecaster.com/,871,no,,,no,no,yes
1022,1022,https://www.lifeandstylemag.com/,872,yes,Do Not Sell,,yes,yes,yes
1025,1025,https://hypebeast.com/,875,no,,,no,no,yes
1026,1026,https://www.racked.com/,876,yes,Do Not Sell or Share My Personal Info,,yes,yes,yes
1027,1027,https://quizlet.com/,877,no,,,no,no,yes
1030,1030,https://www.blackboard.com/,880,yes,Do Not Sell My PI,,yes,yes,yes
1033,1033,https://study.com/,883,no,,,no,no,yes
1035,1035,https://www.udemy.com/,885,yes,,,yes,yes,no
1038,1038,https://www.sparknotes.com/,888,yes,Do Not Sell My Personal Information,,yes,yes,yes
1042,1042,https://www.chegg.com/,892,yes,DO NOT SELL MY INFO,,yes,yes,yes
1046,1046,https://www.citi.com/,1046,no,Do Not Sell or Share My Personal Information,,no,no,no
1054,1054,https://www.forbes.com/?sh=112eecaf2254,1054,yes,,,yes,yes,yes
1063,1063,https://www.statefarm.com/,1063,yes,Do Not Sell or Share My Personal Information (CA residents only),,yes,yes,yes
1066,1066,https://www.progressive.com/,1066,no,Do Not Sell or Share My Personal Information (CA Residents Only),,no,no,no
1074,1074,https://www.farmers.com/,1074,yes,"Do Not Sell/Share My Personal Information
opens in new window",,yes,yes,yes
1077,1077,https://comparisons.org/,1077,yes,Do Not Sell My Personal Information,,yes,yes,yes
1082,1082,https://mygreatlakes.org/,1082,no,,,no,no,yes
1084,1084,https://www.niche.com/colleges/search/best-colleges/,1084,yes,Do Not Sell My Personal Information,,yes,yes,yes
1086,1086,https://www.salliemae.com/,1086,yes,Do not sell or share my personal information,,yes,yes,yes
1087,1087,https://www.fastweb.com/,1087,yes,,,yes,yes,yes
1088,1088,https://collegenet.com/,1088,no,,,no,no,yes
1089,1089,https://www.allrecipes.com/,1089,yes,Do Not Sell My Personal Information,,yes,yes,yes
