,Unnamed: 0,Index,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text
253,894,110,biglots_110,1,Yes,Customers Only: Do Not Sell My Info| 1/1,Yes,Yes,Do not sell my personal information
254,899,74,everydayhealth_74,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
255,902,758,underarmour_758,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
256,903,1015,forbes_1015,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
257,908,784,airliners_784,1,Yes,"DO NOTSELL MY DATA ""1",Yes,Yes,Do not sell my personal information
258,909,796,carmax_796,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information
259,911,299,rakuten_299,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
260,916,19,seamless_19,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
261,919,1041,citi_1041,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
262,922,791,edmunds_791,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
263,925,334,dollardays_334,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
264,935,52,myfitnesspal_52,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
265,936,942,edx_942,1,Yes,Do Not Sell My Personal Data| Wi,Yes,Yes,Do not sell my personal information
266,937,80,riteaid_80,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
267,945,316,rakuten_316,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
268,946,771,oakley_771,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
269,947,747,paulfredrick_747,13,Yes,ell or Share My Personal information| 1/3,Yes,Yes,Do not sell or share my personal information
270,950,123,marthastewart_123,1,Yes,California Do Not Sell] Wi,Yes,Yes,California residents: do not sell my info
271,951,804,autobytel_804,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
272,954,231,com_231,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
273,955,319,mysimon_319,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
274,958,962,bbc_962,1,Yes,AdChoices / Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
275,959,813,mbusa_813,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
276,965,152,com_152,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
277,971,99,com_99,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
278,972,238,publishersweekly_238,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information
279,976,104,saatchiart_104,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
280,978,198,hillspet_198,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
281,986,566,onetravel_566,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
282,995,428,treehugger_428,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
283,996,96,deviantart_96,13,Yes,Do Not Sell My Personal information| 1/3,Yes,Yes,Do not sell my personal information
284,998,375,biglots_375,1,Yes,Customers Only: Do Not Sell My Info| 1/1,Yes,Yes,Do not sell my personal information
285,999,215,dogster_215,1,Yes,DO NOTSELL MY INFORMATION| 1,Yes,Yes,Do not sell my personal information
286,1001,128,etsy_128,1,Yes,Privacy /Do not sell my personal info| 1/1,Yes,Yes,Do not sell my personal information
287,1010,553,priceline_553,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
288,1020,381,space_381,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
289,1021,295,net_295,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
290,1022,974,pandora_974,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
291,1029,177,nytimes_177,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
292,1032,719,tiffany_719,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
293,1033,575,marriott_575,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
294,1040,498,mapmyrun_498,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
295,1045,157,cnn_157,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
296,1051,554,lonelyplanet_554,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
297,1054,919,glassdoor_919,1,Yes,Do Not Sell Or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information
298,1057,269,yellowpages_269,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
299,1058,403,innerbody_403,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
300,1061,125,bhg_125,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
301,1068,17,grubhub_17,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
302,1071,179,com_179,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information
303,1072,557,cheapoair_557,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
304,1073,122,urbanoutfitters_122,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
305,1076,826,volvocars_826,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
306,1079,302,us_302,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
307,1080,850,greatclips_850,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
308,1083,283,manta_283,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
