,filename,step1 present,Number translated,Text translated,Text,Text present,Manual check,Index
333,filehippo_659,No,o / o,"do not sell]

o/o",,No,No,659
334,findsimilar_325,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,325
335,fineartamerica_101,No,o / o,"do not sell]

o/o",,No,No,101
336,finishline_761,No,o / o,"do not sell]

o/o",,No,No,761
337,fiverr_897,No,o / o,"do not sell]

o/o",,No,No,897
338,flashscore_46,No,o / o,"do not sell]

o/o",,No,No,46
339,flexjobs_908,No,o / o,"do not sell]

o/o",,No,No,908
340,flightaware_780,No,o / o,"do not sell]

o/o",,No,No,780
341,flightclub_698,No,o / o,"do not sell]

o/o",,No,No,698
342,flightradar24_781,No,o / o,"do not sell]

o/o",,No,No,781
343,flipkart_361,No,o / o,"do not sell]

o/o",,No,No,361
344,flyertalk,No,o / o,"do not sell]

o/o",,No,No,flyertalk
345,fodors,No,o / o,Do Not Sell My Personal information| 0/0,Do not sell my personal information,Yes,Do Not Sell My Personal information,fodors
346,food_2,Yes,1,"do not sell]

""1",Do not sell or share my personal information,No,Do Not Sell or Share My Information,2
347,foodnetwork,Yes,1,"do not sell]

""1",Do not sell or share my personal information,No,Do Not Sell or Share My Information,foodnetwork
348,footlocker_689,Yes,1,ell or Share my Personal Information| 1/1,Do not sell or share my personal information(CA residents only),Yes,(Calif) Do Not Sell or Share my Peresonal Information,689
349,forbes_1015,No,o / o,Do Not Sell My Personal information| 0/0,Do not sell my personal information,Yes,Do Not Sell My Personal information,1015
350,forbes_1054,No,o / o,Do Not Sell My Personal information| 0/0,Do not sell my personal information,Yes,Do Not Sell My Personal information,1054
351,ford_808,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,808
352,forever21_690,No,o / o,"do not sell]

o/o",,No,No,690
353,forplaycatalog_731,No,o / o,"do not sell]

o/o",,No,No,731
354,forrtune_1027,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,1027
355,fossil_709,Yes,1,Do Not Sell My Info| val,Do not sell my personal information,Yes,Do Not Sell My Info,709
356,fourrsquare_271,Yes,1,Do not sell my info val,Do not sell my personal information,Yes,Do not sell my info,271
357,foxbusiness_1032,Yes,1,Do Not Sell my Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell my Personal Information,1032
358,foxnews_140,Yes,1,Do Not Sell my Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell my Personal Information,140
359,foxnews_966,Yes,1,Do Not Sell my Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell my Personal Information,966
360,foxsports_504,Yes,1,Do Not Sell my Personal Info || val,Do not sell my personal information,Yes,Do Not Sell my Personal Info,504
361,foxsports_972,Yes,1,Do Not Sell my Personal Info || val,Do not sell my personal information,Yes,Do Not Sell my Personal Info,972
362,fragrantica_840,No,o / o,"do not sell]

o/o",,No,No,840
363,framesdirect_770,No,o / o,"do not sell]

o/o",,No,No,770
364,frankandoak_749,No,o / o,"do not sell]

o/o",,No,No,749
365,fredericks_725,No,o / o,"do not sell]

o/o",,No,No,725
366,freejobalert_923,No,o / o,"do not sell]

o/o",,No,No,923
367,freemake_248,No,o / o,"do not sell]

o/o",,No,No,248
368,frommers,No,o / o,"do not sell]

o/o",,No,No,frommers
369,ft_1030,No,o / o,"do not sell]

o/o",,No,No,1030
370,futurescopes_397,No,o / o,"do not sell]

o/o",,No,No,397
371,fws_432,No,o / o,"do not sell]

o/o",,No,No,432
372,ganeshaspeaks_384,No,o / o,"do not sell]

o/o",,No,No,384
373,gap_691,Yes,1,"do not sell]

""1",Do not sell or share my personal information,No,Do Not Sell or Share My Information,691
374,gardeners_118,No,o / o,"do not sell]

o/o",,No,No,118
375,gardeningknowhow_115,No,o / o,"do not sell]

o/o",,No,No,115
376,gardenweb_117,Yes,1,Do not sell my info val,Do not sell my personal information,Yes,Do not sell my info ,117
377,gcfglobal_475,No,o / o,"do not sell]

o/o",,No,No,475
378,geappliances_599,Yes,1,ell Or Share My Personal Information| 1/1,Do not sell or share my personal information,Yes,Do Not Sell or Share My Information,599
379,geeksforgeeks_935,No,o / o,"do not sell]

o/o",,No,No,935
380,genecards_412,No,o / o,"do not sell]

o/o",,No,No,412
381,genius_973,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,973
382,genome_409,Check,,,,Yes,No,409
383,getambassador_516,No,o / o,"do not sell]

o/o",,No,No,516
384,getitfree_302,Yes,1,sHARE MY PERSONAL INFORMATION| 1/1,Do not sell or share my personal information(CA residents only),Yes,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORRMATION,302
385,gettyimages_1007,No,o / o,"do not sell]

o/o",,No,No,1007
386,gfycat_975,No,o / o,"do not sell]

o/o",,No,No,975
387,gilt_847,No,o / o,"do not sell]

o/o",,No,No,847
388,github_648,No,o / o,"do not sell]

o/o",,No,No,648
389,glamour_868,No,o / o,"do not sell]

o/o",,No,No,868
390,glassdoor_919,Yes,1,Do Not Sell Or Share My Information| 1/1,Do not sell or share my personal information,Yes,Do Not Sell Or Share My Information,919
391,glasses_775,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,775
392,glassesusa_720,No,o / o,"do not sell]

o/o",,No,No,720
393,globalspec_453,No,o / o,"do not sell]

o/o",,No,No,453
394,gm_817,No,o / o,"do not sell]

o/o",,No,No,817
395,gmc_827,Yes,1,"do not sell]

""1",,No,No,827
396,go_163,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,163
397,gofundme_187,No,o / o,"do not sell]

o/o",,No,No,187
398,goibibo,No,o / o,"do not sell]

o/o",,No,No,goibibo
399,goldstar_1000,No,o / o,"do not sell]

o/o",,No,No,1000
400,goodreads_221,No,o / o,"do not sell]

o/o",,No,No,221
401,goodreads_273,No,o / o,"do not sell]

o/o",,No,No,273
402,goodrx_307,No,o / o,"do not sell]

o/o",Your Privacy Choices,No,Your Privacy Choices?,307
403,goodrx_79,No,o / o,"do not sell]

o/o",Your Privacy Choices,No,Your Privacy Choices?,79
404,google_263,No,o / o,"do not sell]

o/o",,No,No,263
405,google_523,No,o / o,"do not sell]

o/o",,No,No,523
406,governmentjobs_933,Yes,1,Do not sell my personal information| 1/1,Do not sell my personal information,Yes,Do not sell my personal information,933
407,gq_861,No,o / o,"do not sell]

o/o",,No,No,861
408,grabon_306,No,o / o,"do not sell]

o/o",,No,No,306
409,greatclips_850,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,850
410,greatschools_891,No,o / o,"do not sell]

o/o",,No,No,891
411,greenpeace_435,No,o / o,"do not sell]

o/o",,No,No,435
412,grist_441,No,o / o,"do not sell]

o/o",,No,No,441
413,groupon_294,Check,2-Apr,ell or Share My Personal Information| 1/2,Do not sell or share my personal information,Yes,Do Not Sell or Share My Information,294
414,groupon_356,Check,2-Apr,ell or Share My Personal Information| 1/2,Do not sell or share my personal information,Yes,Do Not Sell or Share My Information,356
415,grubhub_17,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,17
416,grubhub_18,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,18
417,gsmarena_667,No,o / o,"do not sell]

o/o",,No,No,667
418,gucci_714,No,o / o,"do not sell]

o/o",,No,No,714
419,gumtree_284,No,o / o,"do not sell]

o/o",,No,No,284
420,guru_907,No,o / o,"do not sell]

o/o",,No,No,907
421,gutenberg_251,No,o / o,"do not sell]

o/o",,No,No,251
422,haggar_755,Yes,1,Do Not Sell My Datal val,Do not sell my personal information,Yes,Do Not Sell My Data,755
423,harley-davidson_828,No,o / o,"do not sell]

o/o",,No,No,828
424,harpersbazaar_866,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,866
425,harryanddavid_32,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,32
426,hcsc_1076,No,o / o,"do not sell]

o/o",,No,No,1076
427,hdfcbank_1040,No,o / o,"do not sell]

o/o",,No,cannot automate,1040
428,healthcare,No,o / o,"do not sell]

o/o",,No,No,healthcare
429,healthgrades,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,healthgrades
430,healthline,Yes,1,Do Not Sell My Info| val,Do not sell my personal information,Yes,Do Not Sell My Info,healthline
431,heb_29,No,o / o,"do not sell]

o/o",,No,No,29
432,heels_756,No,o / o,"do not sell]

o/o",,No,No,756
433,helzberg_711,No,o / o,"do not sell]

o/o",,No,No,711
434,hemmings_807,No,o / o,"do not sell]

o/o",,No,No,807
435,herroom_724,No,o / o,"do not sell]

o/o",,No,No,724
436,hestreeeet_1033,No,o / o,"do not sell]

o/o",,No,No,1033
437,hgtv_120,Yes,1,"do not sell]

""1",Do not sell or share my personal information,No,Do Not Sell Or Share My Information,120
438,hhgregg_600,No,o / o,"do not sell]

o/o",,No,California Privacy Act,600
439,hhmi_411,No,o / o,"do not sell]

o/o",,No,No,411
440,highsnobiety_873,No,o / o,"do not sell]

o/o",,No,No,873
441,hillspet_198,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,198
442,hilton,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,hilton
443,hm_687,Yes,1,© Not Sell Or Share My Personal Data| 1/1,Do not sell or share my personal information,Yes,Do Not Sell or Share My Information,687
444,hmhco_229,No,o / o,"do not sell]

o/o",,No,No,229
445,hobbylobby_130,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,130
446,homeadvisor_275,Yes,1,Do Not Sell] val,Do not sell my personal information,Yes,Do Not Sell,275
447,homedepot_353,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,353
448,honda_809,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,809
449,hoobly_291,No,o / o,"do not sell]

o/o",,No,No,291
450,horoscope_380,Yes,1,Do Not Sell My Info| val,Do not sell my personal information,Yes,Do Not Sell My Info,380
451,hotukdeals_308,No,o / o,"do not sell]

o/o",,No,No,308
452,hotwire,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,hotwire
453,houzz_119,Yes,1,Do not sell my info val,Do not sell my personal information,Yes,Do not sell my info,119
454,howstuffworks_444,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell My Info,444
455,howstuffworks_940,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell My Info,940
456,hsn_374,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,374
457,hubblesite_392,No,o / o,"do not sell]

o/o",Do not sell my personal information,No,No,392
458,huffpost,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,huffpost
459,humana_1069,No,o / o,"do not sell]

o/o",,No,No,1069
460,hurb,No,o / o,"do not sell]

o/o",,No,No,hurb
461,hyatt,No,o / o,"do not sell]

o/o",,No,cannot automate,hyatt
462,hypebeast_875,No,o / o,"do not sell]

o/o",,No,No,875
463,hyundaiusa_818,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,818
464,ibtimes_1024,No,o / o,"do not sell]

o/o",,No,No,1024
465,icicibank_1042,No,o / o,"do not sell]

o/o",,No,No,1042
466,icloud_519,No,o / o,"do not sell]

o/o",,No,No,519
467,icwb_439,No,o / o,"do not sell]

o/o",,No,No,439
468,iheartdogs_202,No,o / o,"do not sell]

o/o",,No,No,202
469,ihg,Yes,1,Do Not Sell My Personal Info| val,Do not sell my personal information,Yes,Do not sell my personal information,ihg
470,ikea_105,No,o / o,"do not sell]

o/o",,No,No,105
471,imdb_957,No,o / o,"do not sell]

o/o",,No,No,957
472,imore_671,Yes,1,Do not sell my info val,Do not sell my personal information,Yes,Do Not Sell My Info,671
473,inbox_521,No,o / o,"do not sell]

o/o",,No,No,521
474,inc_1028,Yes,1,"DO NOTSELL MY DATA| ""1",Do not sell my personal information,Yes,DO NOTSELL MY DATA,1028
475,indeed_918,No,o / o,"do not sell]

o/o",Your Privacy Choices,No,Your Privacy Choices?,918
476,independent_181,No,o / o,"do not sell]

o/o",,No,No,181
477,info_72,No,o / o,"do not sell]

o/o",,No,No,72
478,infowars_154,No,o / o,"do not sell]

o/o",,No,No,154
479,inhabitat_433,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,433
480,innerbody_403,Yes,1,Do Not Sell My Info| val,Do not sell my personal information,Yes,Do Not Sell My Information,403
481,instructables,No,o / o,"do not sell]

o/o",,No,No,instructables
482,instyle_865,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,865
483,intel_615,No,o / o,"do not sell]

o/o",Do not share my personal information,No,Do not share my personal information,615
484,intuit_1056,No,o / o,"do not sell]

o/o",,No,No,1056
485,intuit_654,No,o / o,"do not sell]

o/o",,No,No,654
486,inverse_462,No,o / o,"do not sell]

o/o",,No,No,462
487,io_512,No,o / o,"do not sell]

o/o",,No,No,512
488,ipsy_855,Yes,1,Do Not Sell] val,Do not sell my personal information,Yes,Do not sell,855
489,irobot_606,No,o / o,"do not sell]

o/o",,No,No,606
490,irs_1057,No,o / o,"do not sell]

o/o",,No,No,1057
491,iso_452,No,o / o,"do not sell]

o/o",,No,No,452
492,issuu_231,No,o / o,"do not sell]

o/o",,No,No,231
493,istockphoto_1009,No,o / o,"do not sell]

o/o",,No,No,1009
494,ixl_468,No,o / o,"do not sell]

o/o",,No,No,468
495,jackthreads_740,No,o / o,"do not sell]

o/o",,No,No,740
496,jared_718,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,718
497,jbc_407,No,o / o,"do not sell]

o/o",,No,No,407
498,jcpenney_365,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,365
499,jdpower_800,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,800
500,jeep_814,No,o / o,‘ersonal Info(Open in anew window)| 0/0,Do not sell my personal information,Yes,Do Not Sell My Personal Information,814
501,jetblue_542,Yes,1,Do not sell my info val,Do not sell my personal information,Yes,Do not sell my info,542
502,jimdo_531,No,o / o,"do not sell]

o/o",,No,No,531
503,jimmyjohns_43,Yes,1,Do Not Sell My Info| val,Do not sell my personal information,Yes,Do Not Sell My Info,43
504,joann_131,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell My Info,131
505,jobrapido_930,No,o / o,"do not sell]

o/o",,No,No,930
506,johnvarvatos_752,No,o / o,"do not sell]

o/o",,No,No,752
507,josbank_738,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,738
508,journelle_735,No,o / o,"do not sell]

o/o",,No,No,735
509,journeys_767,No,o / o,"do not sell]

o/o",,No,No,767
510,jpl_393,No,o / o,"do not sell]

o/o",,No,No,393
511,jstor_236,No,o / o,"do not sell]

o/o",,No,No,236
512,justanswer_902,No,o / o,"do not sell]

o/o",,No,No,902
513,justgiving_191,No,o / o,"do not sell]

o/o",,No,No,191
514,k12_955,No,o / o,"do not sell]

o/o",,No,No,955
515,kaiserpermanente_1064,No,o / o,"do not sell]

o/o",,No,No,1064
516,karmaloop_744,No,o / o,"do not sell]

o/o",,No,No,744
517,kaspersky_633,No,o / o,"do not sell]

o/o",,No,No,633
518,katespade_715,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell my Personal Info,715
519,kay_708,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell My Information,708
520,kayak,Yes,1,Do Not Sell or Share My Info| val,Do not sell or share my personal information,Yes,Do Not Sell or Share My Info,kayak
521,kbb_790,Yes,1,onal Information (CA Residents Only)|_ 1/1,Do not sell or share my personal information(CA residents only),Yes,Do Not Sell or Share My Info (CA residents only),790
522,kelkoo_326,No,o / o,"do not sell]

o/o",,No,No,326
523,kennethcole_750,No,o / o,"do not sell]

o/o",,No,No,750
524,keurig_598,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,598
525,keycdn_513,No,o / o,"do not sell]

o/o",,No,No,513
526,khanacademy_879,No,o / o,"do not sell]

o/o",,No,No,879
527,khanacademy_938,No,o / o,"do not sell]

o/o",,No,No,938
528,kia_815,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,815
529,kicksonfire_764,No,o / o,"do not sell]

o/o",,No,No,764
530,kickstarter_186,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,186
531,kingsize_745,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,745
532,kirkusreviews_242,No,o / o,"do not sell]

o/o",,No,No,242
533,kobo_252,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,252
534,kohls_364,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,California residents: do not sell my info,Yes,CA-do not sell my personal information,364
535,la-z-boy_108,No,o / o,"do not sell]

o/o",,No,No,108
536,lasenza_730,No,o / o,"do not sell]

o/o",,No,No,730
537,last_982,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,982
538,latimes_184,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,184
539,learner_465,No,o / o,"do not sell]

o/o",,No,No,465
540,lendingclub_190,No,o / o,"do not sell]

o/o",,No,No,190
541,leonisa_727,No,o / o,"do not sell]

o/o",,No,No,727
542,letsrun_497,No,o / o,"do not sell]

o/o",,No,No,497
543,lexus_819,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,Do not sell my personal information,Yes,Do Not Sell My Information,819
544,lg_594,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Privacy Portal-Do not sell my personal information,594
545,libertymutual_1059,No,o / o,"do not sell]

o/o",,No,No,1059
546,libertymutual_1061,No,o / o,"do not sell]

o/o",,No,No,1061
547,librarything_241,No,o / o,"do not sell]

o/o",,No,No,241
548,lifeandstylemag_872,Yes,1,Do Not Sell] val,Do not sell my personal information,Yes,Do Not Sell,872
549,lifenews_155,No,o / o,"do not sell]

o/o",,No,No,155
550,lingeriediva_729,No,o / o,"do not sell]

o/o",,No,No,729
551,linkedin_267,No,o / o,"do not sell]

o/o",Your California Privacy Choices,No,Your california Privacy Choices,267
552,linkedin_896,No,o / o,"do not sell]

o/o",Your California Privacy Choices,No,Your california Privacy Choices,896
553,linkedin_917,No,o / o,"do not sell]

o/o",Your California Privacy Choices,No,Your california Privacy Choices,917
554,linkedin_943,No,o / o,"do not sell]

o/o",Your California Privacy Choices,No,Your california Privacy Choices,943
555,liquidation_335,No,o / o,"do not sell]

o/o",,No,No,335
556,liquidweb_511,No,o / o,"do not sell]

o/o",,No,No,511
557,live_518,No,o / o,"do not sell]

o/o",,No,No,518
558,livecareer_934,No,o / o,"do not sell]

o/o",,No,No,934
559,livenation_993,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,993
560,livescience_425,Yes,1,Do not sell my info val,Do not sell my personal information,Yes,Do not sell my info,425
561,livestrong,Yes,1,"Do Not Sell My Personal ""1",Do not sell my personal information,Yes,Do Not Sell My Personal Information,livestrong
562,livinglocurto_134,No,o / o,"do not sell]

o/o",,No,No,134
563,livingsocial_310,Check,2-Apr,ell or Share My Personal Information| 1/2,Do not sell or share my personal information,Yes,Do Not Sell or Share My Info,310
564,llbean_370,No,o / o,"do not sell]

o/o",,No,No,370
565,llbean_699,No,o / o,"do not sell]

o/o",,No,No,699
566,local_279,No,o / o,"do not sell]

o/o",,No,No,279
567,logitech_618,No,o / o,"do not sell]

o/o",,No,No,618
568,lonelyplanet,No,o / o,"do not sell]

o/o",,No,No,lonelyplanet
569,lordandtaylor_379,No,o / o,"do not sell]

o/o",,No,No,379
570,louisvuitton_705,No,o / o,"do not sell]

o/o",,No,No,705
571,lowes_359,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,359
572,lueapron_30,No,o / o,"do not sell]

o/o",,No,No,30
573,lufthansa,Yes,1,CCPA / Do Not Sell My Info| val,Do not sell my personal information,Yes,CCPA / Do Not Sell My Info,lufthansa
574,lumen_510,No,o / o,"do not sell]

o/o",,No,No,510
575,lushusa_852,No,o / o,"do not sell]

o/o",,No,No,852
576,luxottica_776,No,o / o,"do not sell]

o/o",,No,No,776
577,lyricsfreak_985,No,o / o,"do not sell]

o/o",,No,No,985
578,macbooster_634,No,o / o,"do not sell]

o/o",,No,No,634
579,maccosmetics_844,Yes,1,NIA DO NOTSELL MY INFORMATION| 1/1,California residents: do not sell my info,Yes,California do not sell my information,844
580,macys_357,Yes,1,ell or Share My Personal Information| 1/1,Do not sell or share my personal information,Yes,Do Not Sell or Share My Info,357
581,made-in-china_330,No,o / o,"do not sell]

o/o",,No,No,330
582,makeupalley_856,No,o / o,"do not sell]

o/o",,No,No,856
583,makezinee_133,No,o / o,"do not sell]

o/o",,No,No,133
584,malwarebytes_639,No,o / o,"do not sell]

o/o",,No,No,639
585,manta_283,No,o / o,"do not sell]

o/o",,No,No,283
586,manta_293,No,o / o,"do not sell]

o/o",,No,No,293
587,mapmyrun_498,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,498
588,marieclaire_862,Yes,1,"DO NOTSELL MY INFO| ""1",Do not sell my personal information,Yes,DO NOTSELL MY INFO,862
589,marketwatch_1058,No,o / o,"do not sell]

o/o",,No,No,1058
590,marriott,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,marriott
591,marthastewart_123,Yes,1,California Do Not Sell] val,California residents: do not sell my info,Yes,California Do Not Sell,123
592,marthastewart_13,Yes,1,California Do Not Sell] val,California residents: do not sell my info,Yes,California Do Not Sell,13
593,mathsisfun_460,No,o / o,"do not sell]

o/o",,No,No,460
594,mathworks_466,No,o / o,"do not sell]

o/o",,No,No,466
595,mayoclinic,No,o / o,"do not sell]

o/o",,No,No,mayoclinic
596,mazdausa_825,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,825
597,mbusa_813,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,813
598,mcafee_630,No,o / o,"do not sell]

o/o",,No,No,630
599,mcdonalds_39,Yes,1,ell or Share My Personal Information| 1/1,Do not sell or share my personal information,Yes,Do Not Sell or Share My Info,39
600,me_522,No,o / o,"do not sell]

o/o",,No,No,522
601,medicinenet_69,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,69
602,medlineplus_416,No,o / o,"do not sell]

o/o",,No,No,416
603,medscape_71,No,o / o,"do not sell]

o/o",,No,No,71
604,memrise_950,No,o / o,"do not sell]

o/o",,No,No,950
605,menswearhouse_739,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell My Personal Information,739
606,metlife_1075,No,o / o,"do not sell]

o/o",,No,No,1075
607,metric-conversions_472,No,o / o,"do not sell]

o/o",,No,No,472
608,mheducation_234,No,o / o,"do not sell]

o/o",,No,No,234
609,mheducation_895,No,o / o,"do not sell]

o/o",,No,No,895
610,michaels_127,No,o / o,"do not sell]

o/o",,No,No,127
611,microcenter_622,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,622
612,microsoft_362,No,o / o,"do not sell]

o/o",,No,No,362
613,microsoft_646,No,o / o,"do not sell]

o/o",,No,No,646
614,microsoft_658,No,o / o,"do not sell]

o/o",,No,No,658
615,microworkers_912,No,o / o,"do not sell]

o/o",,No,No,912
616,mims_84,No,o / o,"do not sell]

o/o",,No,No,84
617,mindbodygreen_14,No,o / o,"do not sell]

o/o",,No,No,14
618,mindbodygreen_86,No,o / o,"do not sell]

o/o",,No,No,86
619,minq_843,No,o / o,"do not sell]

o/o",,No,No,843
620,mlb_503,Yes,1,Do Not Sell My Personal Data| val,Do not sell my personal information,Yes,Do Not Sell My Personal Data,503
621,mom365_89,No,o / o,"do not sell]

o/o",,No,No,89
622,monster_921,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do not sell personal info,921
623,motherearthnews_440,No,o / o,"do not sell]

o/o",,No,No,440
624,mozilla_653,No,o / o,"do not sell]

o/o",,No,No,653
625,mrporter_751,No,o / o,"do not sell]

o/o",,No,No,751
626,mturk_905,No,o / o,"do not sell]

o/o",,No,No,905
627,myfitnesspal,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,No,myfitnesspal
628,mygreatlakees_1082,No,o / o,"do not sell]

o/o",,No,No,1082
629,myntra,No,o / o,"do not sell]

o/o",,No,No,myntra
630,myplate,No,o / o,"do not sell]

o/o",,No,No,myplate
631,myrecipes_9,Yes,1,California Do Not Sell] val,California residents: do not sell my info,Yes,California Do Not Sell,9
632,mysimon_319,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,319
633,mysmartprice_314,No,o / o,"do not sell]

o/o",,No,No,314
634,myway_527,No,o / o,"do not sell]

o/o",,No,No,527
635,nasa_398,No,o / o,"do not sell]

o/o",,No,No,398
636,nasa_442,No,o / o,"do not sell]

o/o",,No,No,442
637,naturallycurly_851,No,o / o,"do not sell]

o/o",,No,No,851
638,nature_400,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Managed cookies/Do not sell my data,400
639,nature_426,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Managed cookies/Do not sell my data,426
640,nature_434,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Managed cookies/Do not sell my data,434
641,nba_478,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell My Personal Information,478
642,nbcnews_169,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,169
643,nbcsports_487,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,487
644,ncbi_399,No,o / o,"do not sell]

o/o",,No,No,399
645,ncbi_443,No,o / o,"do not sell]

o/o",,No,No,443
646,nctm_464,No,o / o,"do not sell]

o/o",,No,No,464
647,neb_415,No,o / o,"do not sell]

o/o",,No,No,415
648,neimanmarcus_373,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,373
649,netflix_347,Yes,1,ell or Share My Personal Information| 1/1,Do not sell or share my personal information,Yes,Do Not Sell or Share My Info,347
650,netflix_959,Yes,1,ell or Share My Personal Information| 1/1,Do not sell or share my personal information,Yes,Do Not Sell or Share My Info,959
651,newegg_611,No,o / o,"do not sell]

o/o",,No,No,611
652,newyorker_171,No,o / o,"do not sell]

o/o",,No,No,171
653,nextag_322,No,o / o,"do not sell]

o/o",,No,No,322
